"i","f_MHz","ms","R","X"
"0","14","438.1","72.38","-58.548"
"1","14.0071","20.4","72.453","-57.847"
"2","14.0143","21.2","72.526","-57.147"
"3","14.0214","397.8","72.598","-56.443"
"4","14.0286","18.1","72.672","-55.743"
"5","14.0357","13.7","72.745","-55.042"
"6","14.0429","395.6","72.817","-54.339"
"7","14.05","15.6","72.891","-53.639"
"8","14.0571","21.8","72.965","-52.938"
"9","14.0643","366","73.037","-52.235"
"10","14.0714","14","73.111","-51.534"
"11","14.0786","18.7","73.184","-50.834"
"12","14.0857","358","73.257","-50.13"
"13","14.0929","21.4","73.33","-49.43"
"14","14.1","25.1","73.404","-48.729"
"15","14.1071","389.9","73.477","-48.025"
"16","14.1143","23.4","73.551","-47.325"
"17","14.1214","19.8","73.625","-46.624"
"18","14.1286","368","73.697","-45.921"
"19","14.1357","22.4","73.771","-45.22"
"20","14.1429","24.6","73.846","-44.519"
"21","14.15","369.3","73.918","-43.815"
"22","14.1571","15.9","73.992","-43.114"
"23","14.1643","22.9","74.067","-42.414"
"24","14.1714","391.3","74.14","-41.71"
"25","14.1786","20.5","74.214","-41.009"
"26","14.1857","19.8","74.288","-40.308"
"27","14.1929","404.7","74.361","-39.604"
"28","14.2","21.8","74.436","-38.903"
"29","14.2071","22.9","74.51","-38.202"
"30","14.2143","378.8","74.583","-37.498"
"31","14.2214","16.4","74.658","-36.797"
"32","14.2286","21.1","74.733","-36.096"
"33","14.2357","366.9","74.806","-35.391"
"34","14.2429","21.3","74.881","-34.69"
"35","14.25","19","74.956","-33.989"
"36","14.2571","412","75.029","-33.284"
"37","14.2643","28.2","75.104","-32.583"
"38","14.2714","18.8","75.179","-31.881"
"39","14.2786","379.9","75.252","-31.177"
"40","14.2857","23.2","75.328","-30.475"
"41","14.2929","17.9","75.403","-29.774"
"42","14.3","380.6","75.476","-29.069"
"43","14.3071","22.7","75.552","-28.367"
"44","14.3143","16.1","75.627","-27.665"
"45","14.3214","431.4","75.701","-26.961"
"46","14.3286","24.6","75.776","-26.259"
"47","14.3357","25.9","75.851","-25.557"
"48","14.3429","423.5","75.926","-24.852"
"49","14.35","21.4","76.001","-24.15"
