"i","f_MHz","ms","R","X"
"0","14","2109","75.033","-43.681"
"1","14.0071","36.9","75.114","-42.966"
"2","14.0143","34.1","75.195","-42.252"
"3","14.0214","33.8","75.276","-41.537"
"4","14.0286","36.4","75.357","-40.822"
"5","14.0357","33.9","75.438","-40.107"
"6","14.0429","36.4","75.52","-39.391"
"7","14.05","33.8","75.601","-38.676"
"8","14.0571","33.9","75.682","-37.961"
"9","14.0643","907.6","75.761","-37.23"
"10","14.0714","34.6","75.842","-36.514"
"11","14.0786","31.7","75.924","-35.799"
"12","14.0857","30.5","76.006","-35.083"
"13","14.0929","32.3","76.087","-34.368"
"14","14.1","24.8","76.169","-33.652"
"15","14.1071","31.5","76.251","-32.936"
"16","14.1143","36.4","76.333","-32.22"
"17","14.1214","42.6","76.415","-31.504"
"18","14.1286","45.1","76.497","-30.788"
"19","14.1357","47.1","76.579","-30.072"
"20","14.1429","37.6","76.661","-29.356"
"21","14.15","35.2","76.743","-28.64"
"22","14.1571","33.5","76.825","-27.923"
"23","14.1643","34","76.908","-27.207"
"24","14.1714","34.8","76.99","-26.49"
"25","14.1786","34.5","77.072","-25.774"
"26","14.1857","33.8","77.155","-25.057"
"27","14.1929","29.5","77.237","-24.34"
"28","14.2","32.6","77.32","-23.623"
"29","14.2071","835.8","77.401","-22.89"
"30","14.2143","30","77.483","-22.173"
"31","14.2214","31.1","77.566","-21.456"
"32","14.2286","32.9","77.649","-20.738"
"33","14.2357","40.6","77.732","-20.021"
"34","14.2429","37.8","77.815","-19.303"
"35","14.25","34.5","77.898","-18.586"
"36","14.2571","38.7","77.981","-17.868"
"37","14.2643","42.6","78.065","-17.15"
"38","14.2714","27.9","78.148","-16.432"
"39","14.2786","34.1","78.231","-15.714"
"40","14.2857","37.3","78.315","-14.996"
"41","14.2929","36.9","78.398","-14.277"
"42","14.3","37","78.482","-13.559"
"43","14.3071","997.6","78.565","-12.84"
"44","14.3143","20.9","78.649","-12.122"
"45","14.3214","34","78.733","-11.403"
"46","14.3286","45.9","78.817","-10.684"
"47","14.3357","33.4","78.901","-9.965"
"48","14.3429","36.7","78.985","-9.2458"
"49","14.35","893.6","79.068","-8.5099"
