"i","f_MHz","ms","R","X"
"0","14","55.3","72.38","-58.548"
"1","14.0071","21.5","72.453","-57.847"
"2","14.0143","21.4","72.526","-57.147"
"3","14.0214","387","72.598","-56.443"
"4","14.0286","17","72.672","-55.743"
"5","14.0357","17.8","72.745","-55.042"
"6","14.0429","362.9","72.817","-54.339"
"7","14.05","21.4","72.891","-53.639"
"8","14.0571","21.2","72.965","-52.938"
"9","14.0643","378.3","73.037","-52.235"
"10","14.0714","22.2","73.111","-51.534"
"11","14.0786","17.9","73.184","-50.834"
"12","14.0857","378.6","73.257","-50.13"
"13","14.0929","14.1","73.33","-49.43"
"14","14.1","13.1","73.404","-48.729"
"15","14.1071","352.3","73.477","-48.025"
"16","14.1143","12.8","73.551","-47.325"
"17","14.1214","20.3","73.625","-46.624"
"18","14.1286","380.3","73.697","-45.921"
"19","14.1357","12.7","73.771","-45.22"
"20","14.1429","19.4","73.846","-44.519"
"21","14.15","362.3","73.918","-43.815"
"22","14.1571","14.4","73.992","-43.114"
"23","14.1643","22.6","74.067","-42.414"
"24","14.1714","375.5","74.14","-41.71"
"25","14.1786","23.4","74.214","-41.009"
"26","14.1857","22.5","74.288","-40.308"
"27","14.1929","439.9","74.361","-39.604"
"28","14.2","23.6","74.436","-38.903"
"29","14.2071","22.6","74.51","-38.202"
"30","14.2143","368.8","74.583","-37.498"
"31","14.2214","21.1","74.658","-36.797"
"32","14.2286","21.9","74.733","-36.096"
"33","14.2357","456.9","74.806","-35.391"
"34","14.2429","23.2","74.881","-34.69"
"35","14.25","23.4","74.956","-33.989"
"36","14.2571","400.4","75.029","-33.284"
"37","14.2643","23.6","75.104","-32.583"
"38","14.2714","20.7","75.179","-31.881"
"39","14.2786","371.1","75.252","-31.177"
"40","14.2857","13.2","75.328","-30.475"
"41","14.2929","13.8","75.403","-29.774"
"42","14.3","359.2","75.476","-29.069"
"43","14.3071","22.3","75.552","-28.367"
"44","14.3143","19.9","75.627","-27.665"
"45","14.3214","429.9","75.701","-26.961"
"46","14.3286","23.5","75.776","-26.259"
"47","14.3357","22.5","75.851","-25.557"
"48","14.3429","418.5","75.926","-24.852"
"49","14.35","22.8","76.001","-24.15"
